#OTU ID	ERR8056034	ERR8056035	ERR8056037	ERR8056042	ERR8056045	ERR8056051	ERR8056057	ERR8056066	ERR8056069	ERR8056078
Otu381	9	4	103	0	6	5	0	0	0	0
Otu3191	5	0	0	0	6	6	0	0	7	0
Otu7883	1	2	0	0	0	0	0	0	0	0
Otu298	9	317	0	57	21	94	0	0	2	0
Otu3276	5	15	2	2	2	2	3	0	0	0
Otu4699	2	0	0	0	1	0	0	0	0	0
Otu508	1	61	2	6	13	16	8	13	8	31
Otu1929	11	0	0	1	8	0	0	0	0	0
Otu1849	3	0	8	0	0	0	0	0	0	0
Otu1450	1	11	1	4	0	2	0	0	2	0
Otu1934	3	37	0	17	4	17	18	0	0	0
Otu3355	2	13	0	0	0	2	0	0	0	0
Otu3914	1	0	0	0	1	8	0	0	0	0
Otu650	8	33	20	16	0	0	0	0	0	0
Otu2305	1	5	1	3	0	9	0	0	0	0
Otu648	1	147	0	8	1	16	0	0	0	0
Otu4668	5	0	0	0	0	0	0	0	0	0
Otu46	2	4	0	19	81	409	53	66	452	487
Otu4792	1	4	0	0	0	0	0	0	0	0
Otu4917	2	0	0	0	0	0	0	0	0	0
Otu1317	1	0	19	0	0	1	0	0	0	0
Otu6033	1	2	1	0	1	8	2	0	0	0
Otu2683	1	3	6	1	0	1	0	0	0	0
Otu566	7	34	16	6	1	6	0	0	4	0
Otu4723	2	1	0	0	0	0	0	0	0	0
Otu3946	1	0	0	0	0	1	0	0	0	2
Otu1031	2	15	1	0	3	5	0	0	0	0
Otu727	10	97	18	1	0	38	0	0	0	0
Otu6358	1	1	0	2	0	2	0	0	0	0
Otu7196	1	2	0	0	0	0	0	0	0	0
Otu816	1	44	0	22	0	6	0	0	0	0
Otu5393	2	6	1	1	0	1	0	0	0	0
Otu1673	6	0	0	0	0	0	0	0	5	0
Otu124	5	109	0	27	45	189	0	0	3	0
Otu4889	1	1	0	0	0	0	0	0	0	0
Otu4888	3	0	0	0	0	0	0	0	0	0
Otu4808	1	4	0	1	3	1	0	0	0	0
Otu5533	2	6	11	0	0	78	0	0	0	0
Otu1954	1	6	0	19	13	10	0	0	0	0
Otu1705	1	0	0	1	11	9	6	10	7	3
Otu4766	3	0	0	0	0	0	0	0	0	0
Otu850	2	6	0	7	7	20	0	0	0	0
Otu1944	1	11	1	0	0	0	0	0	0	0
Otu880	1	17	4	9	29	32	41	3	46	31
Otu460	3	177	0	8	0	12	0	0	0	0
Otu153	2	215	17	43	8	91	36	0	8	0
Otu125	4	7	3	42	190	58	1	0	2	0
Otu1892	5	7	6	3	0	5	0	0	0	0
Otu629	4	2	0	2	1	34	0	0	0	0
Otu3749	1	0	0	0	0	4	0	0	1	0
Otu1677	2	0	1	0	14	8	2	0	2	0
Otu5052	4	0	0	0	0	0	0	0	0	0
Otu14	3	4017	17	32	0	18	8	0	0	0
Otu6809	3	277	56	147	7	97	6	0	0	0
Otu4775	5	0	0	0	0	0	0	0	0	0
Otu3322	4	1	1	0	1	2	0	0	7	0
Otu3256	4	0	1	0	2	0	0	0	0	0
Otu2791	6	0	0	0	0	1	0	0	0	0
Otu5013	1	0	0	0	1	1	5	0	1	2
Otu1136	1	19	0	3	0	1	0	0	0	0
Otu3799	1	0	0	0	0	4	1	0	1	0
Otu5057	3	0	0	0	0	0	0	0	0	0
Otu3183	1	6	0	0	3	2	0	0	0	0
Otu3249	2	0	0	1	0	0	0	0	1	0
Otu1647	10	1	1	0	0	2	0	0	0	0
Otu444	2	4	0	1	0	2	2	11	48	8
Otu2345	10	2	0	0	0	0	0	0	0	0
Otu957	1	29	0	4	19	20	0	0	0	0
Otu5118	2	0	0	0	0	0	0	0	0	0
Otu999	4	2	8	0	8	11	0	0	11	0
Otu1912	2	12	0	0	0	0	0	0	0	0
Otu1481	1	7	1	4	0	0	0	0	0	0
Otu232	2	59	0	5	5	75	0	0	0	0
Otu3520	1	4	0	0	2	1	1	3	0	5
Otu7615	3	19	0	0	3	4	4	10	2	4
Otu3315	3	19	0	1	0	0	0	0	0	0
Otu1696	4	6	10	1	7	13	1	0	11	10
Otu252	6	77	148	110	8	39	0	0	0	11
Otu464	8	8	27	10	28	13	2	3	0	5
Otu506	3	44	4	21	8	24	0	0	0	0
Otu243	4	33	78	3	1	8	0	0	0	0
Otu1123	1	22	1	1	0	0	0	0	0	0
Otu3312	3	2	1	1	2	0	0	0	0	0
Otu643	1	17	0	3	6	26	2	0	1	3
Otu4763	2	0	1	0	0	8	0	0	1	0
Otu5327	1	9	35	2	2	5	0	0	2	0
Otu3175	8	0	4	0	0	0	0	0	0	0
Otu4751	1	2	0	0	0	0	0	0	0	0
Otu989	1	11	0	1	8	11	0	0	1	0
Otu1561	6	0	1	1	2	2	0	0	0	0
Otu4349	1	0	0	0	10	1	0	0	5	5
Otu1985	1	23	0	6	6	8	0	0	0	0
Otu1480	1	30	0	2	2	21	0	0	0	0
Otu543	3	1	1	10	21	22	48	13	19	33
Otu4991	2	0	1	0	0	0	0	0	1	0
Otu7928	2	0	0	0	0	0	0	0	0	0
Otu410	6	142	9	8	1	19	0	0	0	0
Otu5001	2	0	0	0	0	0	0	0	0	0
Otu938	1	25	19	7	3	3	0	0	0	0
