#OTU ID	ERR8056034	ERR8056035	ERR8056037	ERR8056042	ERR8056045	ERR8056051	ERR8056057	ERR8056066	ERR8056069	ERR8056078
Zotu2713	9	4	4	0	0	0	0	0	0	0
Zotu1144	20	2	36	0	0	0	0	0	0	0
Zotu1330	18	3	8	2	0	6	0	0	0	0
Zotu18	172	1801	1	372	4	45	0	0	1	0
Zotu24	3	47	13	629	524	8	368	1	516	3
Zotu529	77	1	0	2	12	11	3	0	1	0
Zotu1927	1	15	8	0	1	0	0	0	0	0
Zotu3638	2	4	0	2	1	15	0	0	0	0
Zotu142	2	153	88	10	20	36	36	0	22	0
Zotu1464	15	1	1	3	0	15	0	0	1	0
Zotu747	59	0	0	0	1	0	0	0	0	0
Zotu175	38	93	96	6	1	61	0	0	0	0
Zotu950	5	29	3	3	2	18	0	0	0	0
Zotu1447	1	33	0	0	0	0	0	0	0	0
Zotu3439	12	0	0	0	3	0	0	0	0	0
Zotu3410	24	0	0	0	0	0	0	0	0	0
Zotu1378	3	2	1	5	26	15	0	0	5	0
Zotu977	14	0	41	0	0	1	1	0	0	0
Zotu3392	14	0	0	0	0	0	0	0	0	0
Zotu3825	3	1	3	0	2	1	0	0	0	0
Zotu703	22	37	16	0	0	4	0	0	0	0
Zotu779	7	0	0	22	0	0	40	0	0	0
Zotu2194	4	1	1	0	13	10	1	0	0	0
Zotu160	18	65	81	163	6	35	3	1	1	0
Zotu2478	3	16	0	1	1	15	0	0	0	0
Zotu3543	11	12	15	0	0	10	0	0	0	0
Zotu195	17	5	6	26	8	115	83	3	3	4
Zotu2449	13	5	1	0	0	2	0	0	0	0
Zotu127	2	100	185	67	0	14	0	1	3	3
Zotu4508	2	16	2	1	0	2	0	0	0	0
Zotu1446	35	0	0	0	0	0	0	0	0	0
Zotu209	20	79	129	9	3	9	0	0	0	0
Zotu1917	15	1	3	0	4	14	0	0	0	0
Zotu1245	8	7	19	5	2	1	11	0	11	0
Zotu2218	28	0	0	0	0	0	0	0	0	0
Zotu2427	1	13	0	12	9	25	0	0	0	0
Zotu1830	24	8	1	5	0	3	7	1	6	4
Zotu3875	12	0	4	0	0	0	0	0	3	0
Zotu1494	3	21	6	1	1	8	0	0	0	0
Zotu2521	2	17	0	2	0	0	0	0	0	0
Zotu121	7	10	18	67	31	10	158	1	63	3
Zotu2770	15	1	1	3	0	1	0	0	0	0
Zotu4049	7	25	0	0	0	1	0	0	0	2
Zotu1036	27	1	3	2	1	21	0	0	0	0
Zotu2049	22	0	0	0	0	0	0	0	0	0
Zotu2168	8	23	3	5	2	1	0	0	0	0
Zotu3736	11	0	1	0	4	1	0	0	0	0
